name,component,carrier,bus0,bus1,r,x,b,s_nom,x_pu_eff,r_pu_eff,v_nom
26,line,AC,BEAU1P,DUCC1J,0.0219,0.1198,10.47,444.0,8.296398891966759e-07,1.5166204986149584e-07,380.0
27,line,AC,BEAU1Q,BEAU1N,0.01,0.0167,0.305,141.0,1.1565096952908587e-07,6.925207756232687e-08,380.0
28,line,AC,BEAU1Q,BEAU1S,0.0315,0.197,3.941,265.0,1.3642659279778394e-06,2.1814404432132965e-07,380.0
29,line,AC,BEAU1Q,DUCC1K,0.0219,0.1198,10.47,444.0,8.296398891966759e-07,1.5166204986149584e-07,380.0
30,line,AC,BEAU1Q,KIOR5-,0.13,0.29,0.06,126.0,2.008310249307479e-06,9.002770083102493e-07,380.0
31,line,AC,BEAU1L,BEAU1P,0.0634,0.1599,2.062,152.0,1.1073407202216066e-06,4.3905817174515235e-07,380.0
32,line,AC,BEAU1L,MOTA1R,3.0145,6.9027,1.469,132.0,4.780263157894737e-05,2.0876038781163436e-05,380.0
33,line,AC,BEAU1M,BEAU1Q,0.0634,0.1599,2.062,152.0,1.1073407202216066e-06,4.3905817174515235e-07,380.0
34,line,AC,BEAU1M,MOTA1Q,3.0145,6.9027,1.469,132.0,4.780263157894737e-05,2.0876038781163436e-05,380.0
35,line,AC,BEAU1N,KNOC1J,1.5561,3.9843,0.855,132.0,2.7592105263157897e-05,1.0776315789473684e-05,380.0
36,line,AC,BEAU1R,INNE1Q,0.6834,3.0016,0.697,241.0,2.078670360110803e-05,4.732686980609418e-06,380.0
37,line,AC,BEAU1S,INNE1R,0.6834,3.0016,0.697,241.0,2.078670360110803e-05,4.732686980609418e-06,380.0
38,line,AC,BEAU1T,KNOC1J,1.5561,3.9843,0.855,132.0,2.7592105263157897e-05,1.0776315789473684e-05,380.0
39,line,AC,BEAU1P,BEAU1Q,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
40,line,AC,BEAU1P,FASN3-,0.069,1.025,7.23,1910.0,7.0983379501385035e-06,4.778393351800555e-07,380.0
41,line,AC,BEAU1P,FYRI1J,0.183,1.6772,6.465,702.0,1.1614958448753463e-05,1.2673130193905817e-06,380.0
42,line,AC,BEAU1P,KNOC2L,0.099,0.687,4.672,935.0,4.757617728531856e-06,6.85595567867036e-07,380.0
43,line,AC,BEAU1Q,FYRI2K,0.183,1.6772,6.465,702.0,1.1614958448753463e-05,1.2673130193905817e-06,380.0
44,line,AC,BEAU1Q,KNOC2M,0.099,0.687,4.672,935.0,4.757617728531856e-06,6.85595567867036e-07,380.0
45,line,AC,BEAU1J,FAUG1-,0.063,0.931,29.386,2780.0,6.447368421052632e-06,4.362880886426593e-07,380.0
46,line,AC,BEIN31,CEAN5-,0.099,0.205,0.042,254.0,1.4196675900277008e-06,6.85595567867036e-07,380.0
47,line,AC,BEIN31,MILW1S,0.319,0.66,0.135,254.0,4.570637119113574e-06,2.2091412742382273e-06,380.0
48,line,AC,BERB3-,BLHI1J,0.2619,1.9044,12.613,935.0,1.318836565096953e-05,1.813711911357341e-06,380.0
49,line,AC,BERB3-,KNOC1J,0.266,1.934,12.809,935.0,1.3393351800554015e-05,1.8421052631578948e-06,380.0
50,line,AC,BHLA31,GLEN5-,0.1425,0.6104,28.363,230.0,4.227146814404432e-06,9.868421052631579e-07,380.0
51,line,AC,BIHI1Q,CHAR3-,0.17,0.851,0.206,229.0,5.893351800554016e-06,1.1772853185595568e-06,380.0
52,line,AC,BIHI1Q,COUA3-,0.7446,3.2704,0.753,241.0,2.264819944598338e-05,5.156509695290859e-06,380.0
53,line,AC,BIHI1Q,TEAL1-,0.239,1.199,0.29,229.0,8.303324099722993e-06,1.655124653739612e-06,380.0
54,line,AC,BIHI1R,CHAR3-,0.17,0.851,0.206,229.0,5.893351800554016e-06,1.1772853185595568e-06,380.0
55,line,AC,BIHI1R,COUA3-,0.7446,3.2704,0.753,241.0,2.264819944598338e-05,5.156509695290859e-06,380.0
56,line,AC,BIHI1R,TEAL1-,0.239,1.199,0.29,229.0,8.303324099722993e-06,1.655124653739612e-06,380.0
57,line,AC,BLHI1J,BLHI1K,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
58,line,AC,BLHI1J,DORE31,1.171,5.295,1.286,241.0,3.6668975069252074e-05,8.109418282548477e-06,380.0
59,line,AC,BLHI1J,KEIT1K,0.0429,0.2582,4.733,176.0,1.7880886426592796e-06,2.970914127423823e-07,380.0
60,line,AC,BLHI1K,DORE32,1.171,5.297,1.318,241.0,3.668282548476454e-05,8.109418282548477e-06,380.0
61,line,AC,BLHI1K,KEIT1J,0.0429,0.2582,4.733,176.0,1.7880886426592796e-06,2.970914127423823e-07,380.0
62,line,AC,BLHI1J,BLHI1K,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
63,line,AC,BLHI1J,KEIT3-,0.01,0.044,13.793,580.0,3.0470914127423823e-07,6.925207756232687e-08,380.0
64,line,AC,BLHI1J,KINT3-,0.298,2.08,14.14,935.0,1.440443213296399e-05,2.0637119113573407e-06,380.0
65,line,AC,BLHI1K,CAIN3J,0.0573,0.3997,2.717,935.0,2.768005540166205e-06,3.968144044321329e-07,380.0
66,line,AC,BLHI1K,DAAS3-,0.187,1.3593,9.003,935.0,9.41343490304709e-06,1.2950138504155124e-06,380.0
67,line,AC,BLHI1K,KEIT3-,0.01,0.0456,14.286,580.0,3.1578947368421055e-07,6.925207756232687e-08,380.0
68,line,AC,BLHI2L,ROTI3-,0.1768,1.5558,9.335,1090.0,1.0774238227146815e-05,1.2243767313019391e-06,380.0
69,line,AC,BLHI2M,ROTI2K,0.1768,1.5558,9.335,1090.0,1.0774238227146815e-05,1.2243767313019391e-06,380.0
70,line,AC,BLHI1J,BLHI4R,0.01,0.01,0.0001,1272.0,6.925207756232687e-08,6.925207756232687e-08,380.0
71,line,AC,BOAG1L,BOAG3-,0.0362,0.8819,7.98,227.0,6.107340720221607e-06,2.5069252077562326e-07,380.0
72,line,AC,BOAG1L,TOMT1L,2.1877,4.3562,0.96,215.0,3.0167590027700832e-05,1.5150277008310249e-05,380.0
73,line,AC,BOAG1M,BOAG3-,0.0362,0.8819,7.98,227.0,6.107340720221607e-06,2.5069252077562326e-07,380.0
74,line,AC,BOAG1M,TOMT1M,2.1877,4.3562,0.96,215.0,3.0167590027700832e-05,1.5150277008310249e-05,380.0
75,line,AC,BOAG1P,BOAG3-,0.0558,1.271,11.48,227.0,8.801939058171744e-06,3.8642659279778394e-07,380.0
76,line,AC,BOAG1P,GLFA3-,2.5189,5.7753,1.228,126.0,3.9995152354570636e-05,1.7443905817174515e-05,380.0
77,line,AC,BONB2J,BRCW3-,0.028,0.409,2.886,1910.0,2.8324099722991686e-06,1.9390581717451524e-07,380.0
78,line,AC,BONB4-,TUMM4-,0.094,1.396,44.078,2780.0,9.66759002770083e-06,6.509695290858726e-07,380.0
79,line,AC,BRCW3-,BRCW3-,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
80,line,AC,BRCW3-,TUMM1K,0.172,2.544,17.947,1910.0,1.7617728531855957e-05,1.191135734072022e-06,380.0
81,line,AC,BREC1Q,BREC1R,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
82,line,AC,BREC1Q,BRID3-,0.61,1.21,0.25,112.0,8.379501385041551e-06,4.224376731301939e-06,380.0
83,line,AC,BREC1Q,FIDD1B,3.13,6.52,2.66,112.0,4.515235457063712e-05,2.167590027700831e-05,380.0
84,line,AC,BREC1R,BRID3-,0.61,1.21,0.25,112.0,8.379501385041551e-06,4.224376731301939e-06,380.0
85,line,AC,BREC1R,DENS1Q,3.08,6.33,1.29,112.0,4.3836565096952906e-05,2.1329639889196675e-05,380.0
86,line,AC,BROA3-,EDIN3-,6.014,9.963,2.332,99.0,6.899584487534625e-05,4.164819944598338e-05,380.0
87,line,AC,BROA3-,QUOI1Q,8.99,14.87,3.11,99.0,0.00010297783933518005,6.225761772853186e-05,380.0
88,line,AC,BROR3-,BROR1Q,0.12,0.27,0.06,126.0,1.8698060941828257e-06,8.310249307479224e-07,380.0
89,line,AC,BROR1Q,DUBE3-,3.94,9.01,1.91,126.0,6.23961218836565e-05,2.7285318559556786e-05,380.0
90,line,AC,BROR1Q,LOCB1K,2.2511,5.1536,1.096,126.0,3.5689750692520777e-05,1.5589335180055402e-05,380.0
91,line,AC,BUMU3-,BUMU3-,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
92,line,AC,BUMU3-,CHAR3-,4.29,9.76,2.1,132.0,6.759002770083102e-05,2.970914127423823e-05,380.0
93,line,AC,CAAD3-,COUW31,0.3091,2.7749,0.721,448.0,1.9216759002770086e-05,2.1405817174515236e-06,380.0
94,line,AC,CAAD3-,CRSS1R,0.3091,2.7749,0.721,448.0,1.9216759002770086e-05,2.1405817174515236e-06,380.0
95,line,AC,CAIN3J,KINT3-,0.2407,1.6803,11.423,935.0,1.1636426592797784e-05,1.6668975069252077e-06,380.0
96,line,AC,CASS3-,LAIR3-,2.84,6.75,1.33,111.0,4.674515235457064e-05,1.966759002770083e-05,380.0
97,line,AC,CHAR3-,CHAR3-,0.01,0.01,0.0001,229.0,6.925207756232687e-08,6.925207756232687e-08,380.0
98,line,AC,CHAR3-,CHAR1S,0.01,0.01,0.0001,126.0,6.925207756232687e-08,6.925207756232687e-08,380.0
99,line,AC,CHAR3-,CHAR1T,0.01,0.01,0.0001,126.0,6.925207756232687e-08,6.925207756232687e-08,380.0
100,line,AC,CHAR1S,GLAG1Q,0.1697,0.3805,1.708,126.0,2.6350415512465372e-06,1.175207756232687e-06,380.0
101,line,AC,CHAR1S,LYND3-,0.2,0.45,0.1,126.0,3.1163434903047092e-06,1.3850415512465375e-06,380.0
102,line,AC,CHAR1T,GLAG1R,0.1697,0.3805,1.708,126.0,2.6350415512465372e-06,1.175207756232687e-06,380.0
103,line,AC,CHAR1T,LYND3-,0.2,0.45,0.1,126.0,3.1163434903047092e-06,1.3850415512465375e-06,380.0
104,line,AC,CLAC5J,INVE1J,0.85,1.95,0.41,126.0,1.350415512465374e-05,5.886426592797784e-06,380.0
105,line,AC,CLAC5J,SLOY1F,1.3183,3.0212,0.641,132.0,2.0922437673130194e-05,9.129501385041551e-06,380.0
106,line,AC,CLAY3-,REDM3-,0.19,0.28,9.82,120.0,1.9390581717451524e-06,1.3157894736842106e-06,380.0
107,line,AC,CLAY3-,WIOW3-,0.0474,0.1253,2.897,155.0,8.677285318559556e-07,3.2825484764542936e-07,380.0
108,line,AC,CLAY3-,REDM3-,0.19,0.28,9.82,120.0,1.9390581717451524e-06,1.3157894736842106e-06,380.0
109,line,AC,CLAY3-,WIOW3-,0.0474,0.1253,2.897,155.0,8.677285318559556e-07,3.2825484764542936e-07,380.0
110,line,AC,CLUN5J,CLUN1S,0.01,0.01,0.0001,126.0,6.925207756232687e-08,6.925207756232687e-08,380.0
111,line,AC,CLUN5K,CLUN1T,0.01,0.01,0.0001,126.0,6.925207756232687e-08,6.925207756232687e-08,380.0
112,line,AC,CLUN1S,COUA3-,1.9301,8.5468,1.966,241.0,5.918836565096952e-05,1.3366343490304708e-05,380.0
113,line,AC,CLUN1S,ERRO1B,1.406,3.58,0.764,126.0,2.479224376731302e-05,9.736842105263157e-06,380.0
114,line,AC,CLUN1T,COUA3-,1.9301,8.5468,1.966,241.0,5.918836565096952e-05,1.3366343490304708e-05,380.0
115,line,AC,CLUN1T,ERRO1A,1.406,3.58,0.764,126.0,2.479224376731302e-05,9.736842105263157e-06,380.0
116,line,AC,COGA3-,COGA1C,0.7002,2.8782,0.778,241.0,1.993213296398892e-05,4.8490304709141276e-06,380.0
117,line,AC,COGA1C,FARI1J,0.065,0.334,6.245,220.0,2.3130193905817176e-06,4.5013850415512467e-07,380.0
118,line,AC,CONN1C,CONN1J,0.0161,0.0631,1.035,200.0,4.369806094182826e-07,1.1149584487534625e-07,380.0
119,line,AC,CONN1C,STRW1C,0.605,2.485,0.672,241.0,1.7209141274238226e-05,4.189750692520776e-06,380.0
120,line,AC,CONN1J,DOUN3-,0.0621,0.5689,2.193,702.0,3.9397506925207756e-06,4.3005540166204987e-07,380.0
121,line,AC,CONN1J,LOCB1J,0.458,4.1987,16.184,702.0,2.907686980609418e-05,3.171745152354571e-06,380.0
122,line,AC,CORI3-,CORI1K,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
123,line,AC,CORI3-,CORI1P,0.0216,0.0662,0.84,126.0,4.584487534626038e-07,1.4958448753462604e-07,380.0
124,line,AC,CORI3-,LUIC5J,0.2443,2.2748,0.551,464.0,1.5753462603878117e-05,1.6918282548476454e-06,380.0
125,line,AC,CORI1K,CORI1Q,0.0191,0.0586,0.742,126.0,4.0581717451523546e-07,1.3227146814404432e-07,380.0
126,line,AC,CORI1K,LUIC5K,0.2425,2.2577,0.547,464.0,1.5635041551246536e-05,1.6793628808864265e-06,380.0
127,line,AC,CORI1P,MOSS1S,0.074,0.3248,0.075,224.0,2.2493074792243764e-06,5.124653739612188e-07,380.0
128,line,AC,CORI1Q,MOSS1T,0.074,0.3248,0.075,224.0,2.2493074792243764e-06,5.124653739612188e-07,380.0
129,line,AC,CRAI3-,CRAI1P,0.0309,0.0973,1.456,149.0,6.738227146814405e-07,2.1398891966759002e-07,380.0
130,line,AC,CRAI3-,CRAI3-,0.01,0.01,0.0001,145.0,6.925207756232687e-08,6.925207756232687e-08,380.0
131,line,AC,CRAI3-,CRAI1R,0.0309,0.0973,1.456,149.0,6.738227146814405e-07,2.1398891966759002e-07,380.0
132,line,AC,CRAI3-,FOGG1Q,0.485,1.057,0.221,132.0,7.319944598337949e-06,3.358725761772853e-06,380.0
133,line,AC,CRAI3-,FOGG1R,0.485,1.057,0.221,132.0,7.319944598337949e-06,3.358725761772853e-06,380.0
134,line,AC,CRAI3-,REDM3-,0.48,1.53,0.34,157.0,1.0595567867036012e-05,3.3240997229916898e-06,380.0
135,line,AC,CRAI3-,WOHI3-,0.15,0.22,7.5,130.0,1.5235457063711911e-06,1.038781163434903e-06,380.0
136,line,AC,CRAI3-,WOHI3-,0.15,0.22,7.5,130.0,1.5235457063711911e-06,1.038781163434903e-06,380.0
137,line,AC,CRAI1P,KINT1P,0.8925,3.92,0.903,241.0,2.714681440443213e-05,6.180747922437673e-06,380.0
138,line,AC,CRAI3-,REDM3-,0.48,1.53,0.34,157.0,1.0595567867036012e-05,3.3240997229916898e-06,380.0
139,line,AC,CRAI1R,KINT1R,0.8925,3.92,0.903,241.0,2.714681440443213e-05,6.180747922437673e-06,380.0
140,line,AC,CREA3-,CREA1B,0.2,0.828,0.224,203.0,5.734072022160665e-06,1.3850415512465375e-06,380.0
141,line,AC,CREA1A,CREA1B,0.0149,0.0892,2.161,306.0,6.177285318559557e-07,1.0318559556786704e-07,380.0
142,line,AC,CREA1A,DLCH1B,0.83,3.4362,0.93,203.0,2.3796398891966757e-05,5.74792243767313e-06,380.0
143,line,AC,COUW31,CRSS1R,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
144,line,AC,CRSS1Q,PORA1R,6.8386,11.356,2.352,99.0,7.864265927977839e-05,4.735872576177285e-05,380.0
145,line,AC,CRSS1R,PORA1S,6.8386,11.356,2.352,99.0,7.864265927977839e-05,4.735872576177285e-05,380.0
146,line,AC,COUW31,CRSS2C,0.0178,0.0531,4.45,240.0,3.677285318559557e-07,1.2326869806094183e-07,380.0
147,line,AC,CRSS1R,CRSS2D,0.0178,0.056,4.57,240.0,3.878116343490305e-07,1.2326869806094183e-07,380.0
148,line,AC,CRSS2C,HUNN2C,0.6045,1.1463,76.848,240.0,7.938365650969529e-06,4.186288088642659e-06,380.0
150,line,AC,CULL5-,DEAN5-,0.93,2.12,0.45,126.0,1.4681440443213297e-05,6.440443213296399e-06,380.0
151,line,AC,DAAS3-,KNOC1J,0.341,2.479,16.419,935.0,1.716759002770083e-05,2.3614958448753466e-06,380.0
152,line,AC,DENS1Q,TEAL1-,0.3393,1.9053,0.461,183.0,1.3194598337950139e-05,2.3497229916897506e-06,380.0
153,line,AC,DENS1R,TEAL1-,0.3393,1.9053,0.461,183.0,1.3194598337950139e-05,2.3497229916897506e-06,380.0
154,line,AC,LAIR3-,DLCH1B,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
155,line,AC,LAIR3-,LOCB1L,0.3992,3.7085,0.898,464.0,2.568213296398892e-05,2.7645429362880885e-06,380.0
157,line,AC,DOUN3-,GORW3-,0.3486,3.196,12.32,702.0,2.213296398891967e-05,2.414127423822715e-06,380.0
158,line,AC,DOUN3-,THUS3-,0.077,0.847,3.28,965.0,5.8656509695290855e-06,5.332409972299169e-07,380.0
159,line,AC,DOUN3-,THUS3-,0.077,0.847,3.28,965.0,5.8656509695290855e-06,5.332409972299169e-07,380.0
160,line,AC,DUBE3-,MYBS1R,2.12,4.86,1.03,126.0,3.365650969529086e-05,1.4681440443213297e-05,380.0
161,line,AC,DUCC1J,ORRI1S,0.2526,2.3466,0.568,464.0,1.6250692520775624e-05,1.7493074792243768e-06,380.0
162,line,AC,DUCC1K,ORRI1T,0.2526,2.3466,0.568,464.0,1.6250692520775624e-05,1.7493074792243768e-06,380.0
167,line,AC,DUGR3-,EDIN3-,1.206,1.997,0.468,99.0,1.3829639889196676e-05,8.35180055401662e-06,380.0
168,line,AC,DUNM3-,DUNM1C,0.3023,1.2424,0.336,241.0,8.60387811634349e-06,2.0934903047091414e-06,380.0
169,line,AC,DUNM1C,FARI1K,0.064,0.28,6.175,210.0,1.9390581717451524e-06,4.4321329639889196e-07,380.0
170,line,AC,DUNO3-,WHTB1S,2.5159,4.0363,0.887,99.0,2.7952216066481993e-05,1.7423130193905816e-05,380.0
171,line,AC,DUNO3-,WHTB1T,2.5159,4.0363,0.887,99.0,2.7952216066481993e-05,1.7423130193905816e-05,380.0
172,line,AC,DYCE1J,DYCE3-,0.0978,0.4332,0.33,241.0,2.9999999999999997e-06,6.772853185595568e-07,380.0
173,line,AC,DYCE3-,DYCE1T,0.0455,0.0543,2.428,150.0,3.760387811634349e-07,3.1509695290858727e-07,380.0
174,line,AC,DYCE3-,DYCE1U,0.0455,0.0543,2.428,150.0,3.760387811634349e-07,3.1509695290858727e-07,380.0
175,line,AC,DYCE1T,KINT1T,0.5187,2.2781,0.525,241.0,1.577631578947368e-05,3.592105263157895e-06,380.0
176,line,AC,DYCE1U,KINT1U,0.6335,2.2972,0.519,145.0,1.590858725761773e-05,4.387119113573407e-06,380.0
177,line,AC,ELGI1L,ELGI3-,0.0236,0.1477,2.956,251.0,1.0228531855955678e-06,1.634349030470914e-07,380.0
178,line,AC,ELGI1L,NAIR3-,1.7289,7.5936,1.763,241.0,5.258725761772854e-05,1.1972991689750693e-05,380.0
179,line,AC,ELGI1M,ELGI3-,0.0236,0.1477,2.956,251.0,1.0228531855955678e-06,1.634349030470914e-07,380.0
180,line,AC,ELGI1M,NAIR3-,1.7289,7.5936,1.763,241.0,5.258725761772854e-05,1.1972991689750693e-05,380.0
181,line,AC,ELGI3-,KEIT3-,1.3974,6.1376,1.425,241.0,4.250415512465374e-05,9.677285318559556e-06,380.0
182,line,AC,ELGI3-,KEIT3-,1.3974,6.1376,1.425,241.0,4.250415512465374e-05,9.677285318559556e-06,380.0
183,line,AC,ERRO1A,ERRO1A,0.01,0.01,0.0001,240.0,6.925207756232687e-08,6.925207756232687e-08,380.0
184,line,AC,ERRO1A,TUMM1J,0.014,0.098,2.572,300.0,6.786703601108034e-07,9.695290858725762e-08,380.0
185,line,AC,ERRO1B,ERRO1B,0.01,0.01,0.0001,240.0,6.925207756232687e-08,6.925207756232687e-08,380.0
186,line,AC,ERRO1B,TUMM1K,0.013,0.095,2.51,300.0,6.578947368421053e-07,9.002770083102493e-08,380.0
187,line,AC,ERRO1A,ERRO1B,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
188,line,AC,ERRO1A,ERRO1A,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
189,line,AC,ERRO1A,TUMB5-,0.1,0.22,0.05,126.0,1.5235457063711911e-06,6.925207756232688e-07,380.0
190,line,AC,ERRO1A,WHIB1A,0.4973,1.1403,0.242,132.0,7.896814404432134e-06,3.4439058171745155e-06,380.0
191,line,AC,ERRO1B,TUMB5-,0.1,0.22,0.05,126.0,1.5235457063711911e-06,6.925207756232688e-07,380.0
192,line,AC,ERRO1B,WHIB1B,0.4973,1.1403,0.242,132.0,7.896814404432134e-06,3.4439058171745155e-06,380.0
193,line,AC,ERRO1A,KIIN3-,3.75,8.58,1.82,132.0,5.941828254847646e-05,2.5969529085872575e-05,380.0
194,line,AC,FAAR3J,TOMT1K,0.6544,1.6631,0.361,132.0,1.1517313019390583e-05,4.53185595567867e-06,380.0
195,line,AC,FAAR3K,TOMT1J,0.6544,1.6631,0.361,132.0,1.1517313019390583e-05,4.53185595567867e-06,380.0
196,line,AC,FARI1J,FOYE2-,0.0479,0.3363,2.358,935.0,2.3289473684210526e-06,3.317174515235457e-07,380.0
197,line,AC,FARI1J,KNOC1J,0.0851,0.5967,4.182,935.0,4.132271468144044e-06,5.893351800554016e-07,380.0
198,line,AC,FARI1K,FOYE2-,0.0479,0.3363,2.358,935.0,2.3289473684210526e-06,3.317174515235457e-07,380.0
199,line,AC,FARI1K,KNOC1J,0.0851,0.5967,4.182,935.0,4.132271468144044e-06,5.893351800554016e-07,380.0
200,line,AC,FASN3-,FAUG1-,0.069,1.029,7.259,1910.0,7.126038781163434e-06,4.778393351800555e-07,380.0
201,line,AC,FAUG1-,FAUG1M,0.01,0.0225,0.486,220.0,1.5581717451523545e-07,6.925207756232687e-08,380.0
202,line,AC,FAUG1-,FAUG1N,0.01,0.0157,0.339,220.0,1.0872576177285317e-07,6.925207756232687e-08,380.0
203,line,AC,FAUG1-,FAUG1P,0.01,0.0602,0.868,202.0,4.168975069252077e-07,6.925207756232687e-08,380.0
204,line,AC,FAUG1-,FAUG3-,0.01,0.012,0.002,126.0,8.310249307479224e-08,6.925207756232687e-08,380.0
205,line,AC,FAUG1-,GLDO1G,0.21,0.47,5.91,127.0,3.2548476454293628e-06,1.4542936288088641e-06,380.0
206,line,AC,FAUG1J,FAUG1K,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
207,line,AC,FAUG1J,LAGG1Q,0.739,1.477,0.325,254.0,1.0228531855955679e-05,5.117728531855956e-06,380.0
208,line,AC,FAUG1K,LAGG1R,0.739,1.477,0.325,221.0,1.0228531855955679e-05,5.117728531855956e-06,380.0
209,line,AC,FAUG1M,LOCL1Q,0.969,1.9295,0.425,255.0,1.336218836565097e-05,6.710526315789474e-06,380.0
210,line,AC,FAUG1N,LOCL1R,0.969,1.9295,0.425,255.0,1.336218836565097e-05,6.710526315789474e-06,380.0
211,line,AC,FAUG1P,MILS3J,0.2727,1.1208,0.303,203.0,7.761772853185596e-06,1.8885041551246537e-06,380.0
212,line,AC,FAUG1-,FAUG1-,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
213,line,AC,FAUG1-,TUMM1J,0.211,3.128,22.063,1910.0,2.1662049861495846e-05,1.461218836565097e-06,380.0
214,line,AC,FAUG1-,FAUG1K,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
215,line,AC,FAUG1-,MELG1J,0.0311,0.4597,14.517,2780.0,3.183518005540166e-06,2.1537396121883657e-07,380.0
216,line,AC,FERO3-,FERO1S,0.7089,1.0659,0.265,99.0,7.381578947368422e-06,4.909279778393352e-06,380.0
217,line,AC,FERO1S,INVE1J,2.157,3.571,0.744,99.0,2.4729916897506928e-05,1.4937673130193906e-05,380.0
218,line,AC,FERO1S,TAYN3-,1.063,1.759,0.366,99.0,1.2181440443213296e-05,7.361495844875346e-06,380.0
219,line,AC,FETT2P,FETT3S,0.01,0.01,0.0001,999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
220,line,AC,FETT2P,KINT3-,0.1624,1.4035,8.454,955.0,9.719529085872576e-06,1.1246537396121882e-06,380.0
221,line,AC,FETT2P,TEAL1-,0.4226,3.6513,21.994,955.0,2.528601108033241e-05,2.9265927977839333e-06,380.0
222,line,AC,FETT2Q,FETT3S,0.01,0.01,0.0001,999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
223,line,AC,FETT2Q,KINB2J,0.6853,5.8914,35.895,955.0,4.0799168975069255e-05,4.745844875346261e-06,380.0
224,line,AC,FETT2Q,KINT3-,0.1624,1.4035,8.454,955.0,9.719529085872576e-06,1.1246537396121882e-06,380.0
225,line,AC,FIDD1B,FIDD1B,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
226,line,AC,FIDD3-,FIDD1B,0.01,0.01,0.0001,9999.0,6.925207756232687e-08,6.925207756232687e-08,380.0
227,line,AC,FIDD3-,FOGG1R,3.004,6.157,1.238,112.0,4.263850415512465e-05,2.080332409972299e-05,380.0
228,line,AC,FINL5-,KIIN3-,0.21,0.5,0.1,126.0,3.4626038781163433e-06,1.4542936288088641e-06,380.0
229,line,AC,FOFO2-,TEAL1-,0.01,0.1,0.0001,9999.0,6.925207756232688e-07,6.925207756232687e-08,380.0
230,line,AC,FOGG1Q,KINT3-,1.826,3.742,0.752,112.0,2.5914127423822714e-05,1.2645429362880887e-05,380.0
231,line,AC,FOGG1Q,TARL3-,3.12,7.98,1.7,132.0,5.5263157894736845e-05,2.1606648199445985e-05,380.0
232,line,AC,FOGG1R,TARL3-,3.12,7.98,1.7,132.0,5.5263157894736845e-05,2.1606648199445985e-05,380.0
233,line,AC,FOYE2-,FOYE2J,0.01,0.024,6.22,400.0,1.6620498614958448e-07,6.925207756232687e-08,380.0
234,line,AC,FRAS3-,LUMB1Q,0.9,2.34,0.502,126.0,1.6204986149584487e-05,6.2326869806094184e-06,380.0
235,line,AC,FRAS3-,LUMB1R,0.9,2.34,0.502,126.0,1.6204986149584487e-05,6.2326869806094184e-06,380.0
236,line,AC,FWIL3-,LOCL1Q,3.9786,7.9223,1.745,255.0,5.486357340720221e-05,2.755263157894737e-05,380.0
237,line,AC,FWIL3-,LOCL1R,3.9786,7.9223,1.745,255.0,5.486357340720221e-05,2.755263157894737e-05,380.0
238,line,AC,FWIL3-,LUND1-,0.849,2.16,0.463,136.0,1.4958448753462605e-05,5.879501385041551e-06,380.0
240,line,AC,FYRI1J,LOCB1K,0.2156,1.9762,7.617,702.0,1.3685595567867035e-05,1.4930747922437674e-06,380.0
241,line,AC,FYRI2K,LOCB1J,0.2156,1.9762,7.617,702.0,1.3685595567867035e-05,1.4930747922437674e-06,380.0
242,line,AC,GARB1Q,SLOY1K,1.45,3.31,0.7,132.0,2.2922437673130196e-05,1.0041551246537396e-05,380.0
243,line,AC,GARB1R,SLOY1J,1.44,3.3,0.7,132.0,2.2853185595567865e-05,9.972299168975068e-06,380.0
244,line,AC,GARB1S,SLOY1J,1.45,3.31,0.7,132.0,2.2922437673130196e-05,1.0041551246537396e-05,380.0
245,line,AC,GARB1T,SLOY1K,1.44,3.3,0.7,132.0,2.2853185595567865e-05,9.972299168975068e-06,380.0
246,line,AC,GLEN5-,LAGG1Q,0.546,1.132,0.232,254.0,7.839335180055402e-06,3.7811634349030473e-06,380.0
247,line,AC,GLFA3-,KEIT3-,3.0087,6.8969,1.466,126.0,4.776246537396122e-05,2.0835872576177288e-05,380.0
