name,component,carrier,bus0,bus1,r,x,b,p_nom,p_min_pu,build_year,min_up_time,min_down_time,up_time_before,down_time_before
2922,link,AC,FLIB41,HUCS4-,0.0001,0.0001,0.0001,2250.0,0.0,0,0,0,1,0
2923+1,,DC,SPIT1K,BLHI4R,,,,800.0,-1.0,0,0,0,1,0
