Line,component,carrier,bus0,bus1,r,x,b,s_nom,type,g,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,capital_cost,build_year,lifetime,length,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
25,line,AC,BEAU1J,CULL1Q,1.43,3.28,0.69,126.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,line,AC,BEAU1J,DUCC1J,0.0219,0.1198,10.47,444.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,line,AC,BEAU1K,BEAU1N,0.01,0.0167,0.305,141.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,line,AC,BEAU1K,BEAU1S,0.0315,0.197,3.941,265.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,line,AC,BEAU1K,DUCC1K,0.0219,0.1198,10.47,444.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,line,AC,BEAU1K,KIOR1Q,0.13,0.29,0.06,126.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,line,AC,BEAU1L,BEAU1P,0.0634,0.1599,2.062,152.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,line,AC,BEAU1L,MOTA1R,3.0145,6.9027,1.469,132.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,line,AC,BEAU1M,BEAU1Q,0.0634,0.1599,2.062,152.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,line,AC,BEAU1M,MOTA1Q,3.0145,6.9027,1.469,132.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,line,AC,BEAU1N,KNOC1J,1.5561,3.9843,0.855,132.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,line,AC,BEAU1R,INNE1Q,0.6834,3.0016,0.697,241.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,line,AC,BEAU1S,INNE1R,0.6834,3.0016,0.697,241.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,line,AC,BEAU1T,KNOC1J,1.5561,3.9843,0.855,132.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,line,AC,BEAU2J,BEAU2K,0.01,0.01,0.0,9999.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,line,AC,BEAU2J,FASN2-,0.069,1.025,7.23,1910.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,line,AC,BEAU2J,FYRI2J,0.183,1.6772,6.465,702.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,line,AC,BEAU2J,KNOC2L,0.099,0.687,4.672,935.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,line,AC,BEAU2K,FYRI2K,0.183,1.6772,6.465,702.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,line,AC,BEAU2K,KNOC2M,0.099,0.687,4.672,935.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,line,AC,BEAU4-,FAUG4J,0.063,0.931,29.386,2780.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,line,AC,BEIN11,CEAN1Q,0.099,0.205,0.042,254.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,line,AC,BEIN11,MILW1S,0.319,0.66,0.135,254.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,line,AC,BERB2Q,BLHI2J,0.2619,1.9044,12.613,935.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,line,AC,BERB2Q,KNOC2J,0.266,1.934,12.809,935.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,line,AC,BHLA11,GLEN1Q,0.1425,0.6104,28.363,230.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,line,AC,BIHI1Q,CHAR1R,0.17,0.851,0.206,229.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,line,AC,BIHI1Q,COUA1Q,0.7446,3.2704,0.753,241.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,line,AC,BIHI1Q,TEAL1-,0.239,1.199,0.29,229.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,line,AC,BIHI1R,CHAR1-,0.17,0.851,0.206,229.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,line,AC,BIHI1R,COUA1R,0.7446,3.2704,0.753,241.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,line,AC,BIHI1R,TEAL1-,0.239,1.199,0.29,229.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,line,AC,BLHI1J,BLHI1K,0.01,0.01,0.0,9999.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,line,AC,BLHI1J,DORE11,1.171,5.295,1.286,241.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,line,AC,BLHI1J,KEIT1K,0.0429,0.2582,4.733,176.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,line,AC,BLHI1K,DORE12,1.171,5.297,1.318,241.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,line,AC,BLHI1K,KEIT1J,0.0429,0.2582,4.733,176.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
