nationalGridBmUnit,elexonBmUnit,fuelType,leadPartyName,bmUnitType,fpnFlag,longitude,latitude,name
STH-SEL01,2__HSMAR000,,Smartestenergy Limited,G,True,,,STH-SEL01
STH-SPC01,2__HSPOW000,,SP Energy Retail Ltd,G,True,,,STH-SPC01
STH-SSE01,2__HHYDE000,,OVO Electricity Ltd,G,True,,,STH-SSE01
STH-STH01,2__HSOUT000,,OVO Electricity Ltd,G,True,,,STH-STH01
STH-SWA01,2__HSWAE000,,OVO Electricity Ltd,G,True,,,STH-SWA01
STH-SWT01,2__HSWEB000,,EDF Energy Customers Ltd,G,True,,,STH-SWT01
STH-SYM01,2__HSYMB000,,E.ON Next Energy Ltd,G,True,,,STH-SYM01
STH-TFE01,2__HTGPL000,,TotalEnergies Gas & Power Ltd,G,True,,,STH-TFE01
STH-YEP01,2__HYELG000,,npower limited,G,True,,,STH-YEP01
STLGW-1,T_STLGW-1,WIND,Stronelairg Windfarm Limited,T,True,-4.461346,57.099869,STLGW-1
STLGW-2,T_STLGW-2,WIND,Stronelairg Windfarm Limited,T,True,-4.461346,57.099869,STLGW-2
STLGW-3,T_STLGW-3,WIND,Stronelairg Windfarm Limited,T,True,-4.461346,57.099869,STLGW-3
STPSW-1,,WIND,,,,,,STPSW-1
STRNW-1,T_STRNW-1,WIND,Strathy Wind Farm Limited,T,True,-3.89086,58.385271,STRNW-1
SUDME-1,E_SUDME-1,,Conrad Energy (Trading) Ltd,E,True,,,SUDME-1
SUTB-1,T_SUTB-1,CCGT,SUTTON BRIDGE POWER GENERATION,T,True,0.098877,52.62306,SUTB-1
SUTBS-1,T_SUTBS-1,OTHER,EDF Energy Customers Ltd,T,True,,,SUTBS-1
SVRP-10,T_SVRP-10,CCGT,Severn Power Limited,T,True,-3.065186,51.740636,SVRP-10
SVRP-20,T_SVRP-20,CCGT,Severn Power Limited,T,True,-3.065186,51.740636,SVRP-20
SWA-ATL01,2__KIMPO000,,SSE Energy Supply Limited,G,True,,,SWA-ATL01
SWA-AXPO1,2__KAXPO000,,AXPO UK LIMITED,G,False,,,SWA-AXPO1
SWA-BGS01,2__KBGAS000,,British Gas Trading Ltd,G,True,,,SWA-BGS01
SWA-BIZ01,2__KBIZZ000,,British Gas Trading Ltd,G,True,,,SWA-BIZ01
SWA-EAS01,2__KEELC000,,E.ON Energy Solutions Limited,G,True,,,SWA-EAS01
SWA-EDF01,2__KEDFE000,,EDF Energy Customers Ltd,G,True,,,SWA-EDF01
SWA-EDR01,2__KEDIR000,,British Gas Trading Ltd,G,True,,,SWA-EDR01
SWA-ENR01,2__KENRD000,,British Gas Trading Ltd,G,True,,,SWA-ENR01
SWA-EON01,2__KEOND000,,E.ON Next Energy Ltd,G,True,,,SWA-EON01
SWA-EST01,2__KEENG000,,E.ON Energy Solutions Limited,G,True,,,SWA-EST01
SWA-GDF01,2__KRWED000,,ENGIE Power Limited,G,True,,,SWA-GDF01
SWA-HPW01,2__KHPOW000,,Drax Energy Solutions Limited,G,True,,,SWA-HPW01
SWA-HVN01,2__KHAVE000,,Drax Energy Solutions Limited,G,True,,,SWA-HVN01
SWA-INE01,2__KINDE000,,npower limited,G,True,,,SWA-INE01
SWA-LON01,2__KLOND000,,EDF Energy Customers Ltd,G,True,,,SWA-LON01
SWA-MEC01,2__KNUCE000,,NDA,G,False,,,SWA-MEC01
SWA-MID01,2__KMIDE000,,Npower Limited,G,True,,,SWA-MID01
SWA-MNW01,2__KMANW000,,SP Energy Retail Ltd,G,True,,,SWA-MNW01
SWA-NEE01,2__KNEEB000,,npower limited,G,True,,,SWA-NEE01
SWA-NPE01,2__KNATP000,,Npower Commercial Gas Limited,G,True,,,SWA-NPE01
SWA-NWP01,2__KNORW000,,E.ON Energy Solutions Limited,G,True,,,SWA-NWP01
SWA-OCT01,2__KMRCY000,,Octopus Energy Limited,G,True,,,SWA-OCT01
SWA-OGA01,2__KOGAS000,,British Gas Trading Ltd,G,True,,,SWA-OGA01
SWA-OVO01,2__KOVOE000,,OVO Electricity Ltd,G,False,,,SWA-OVO01
SWA-PGE01,2__KEMEB000,,E.ON Energy Solutions Limited,G,True,,,SWA-PGE01
SWA-PGU01,2__KPGEN000,,E.ON UK plc,G,True,,,SWA-PGU01
SWA-RNW01,2__KRENC000,,The Renewable Energy Co Ltd,G,False,,,SWA-RNW01
SWA-SEE01,2__KSEEB000,,EDF Energy Customers Ltd,G,False,,,SWA-SEE01
SWA-SEL01,2__KSMAR000,,Smartestenergy Limited,G,True,,,SWA-SEL01
SWA-SPC01,2__KSPOW000,,SP Energy Retail Ltd,G,True,,,SWA-SPC01
SWA-SSE01,2__KHYDE000,,OVO Electricity Ltd,G,True,,,SWA-SSE01
SWA-STH01,2__KSOUT000,,OVO Electricity Ltd,G,True,,,SWA-STH01
SWA-SWA01,2__KSWAE000,,OVO Electricity Ltd,G,True,,,SWA-SWA01
SWA-SWT01,2__KSWEB000,,EDF Energy Customers Ltd,G,True,,,SWA-SWT01
SWA-SYM01,2__KSYMB000,,E.ON Next Energy Ltd,G,True,,,SWA-SYM01
SWA-TFE01,2__KTGPL000,,TotalEnergies Gas & Power Ltd,G,True,,,SWA-TFE01
SWA-UKP01,2__KUKPR000,,UK Power Reserve Limited,G,True,,,SWA-UKP01
SWA-YEP01,2__KYELG000,,npower limited,G,True,,,SWA-YEP01
SWBKW-1,E_SWBKW-1,,Vattenfall Energy Trading,E,True,,,SWBKW-1
SWT-ATL01,2__LIMPO000,,SSE Energy Supply Limited,G,True,,,SWT-ATL01
SWT-AXPO1,2__LAXPO000,,AXPO UK LIMITED,G,False,,,SWT-AXPO1
SWT-BGS01,2__LBGAS000,,British Gas Trading Ltd,G,True,,,SWT-BGS01
SWT-BIZ01,2__LBIZZ000,,British Gas Trading Ltd,G,True,,,SWT-BIZ01
SWT-EAS01,2__LEELC000,,E.ON Energy Solutions Limited,G,True,,,SWT-EAS01
SWT-EDF01,2__LEDFE000,,EDF Energy Customers Ltd,G,True,,,SWT-EDF01
SWT-EDR01,2__LEDIR000,,British Gas Trading Ltd,G,True,,,SWT-EDR01
SWT-ENR01,2__LENRD000,,British Gas Trading Ltd,G,True,,,SWT-ENR01
SWT-EON01,2__LEOND000,,E.ON Next Energy Ltd,G,True,,,SWT-EON01
SWT-EST01,2__LEENG000,,E.ON Energy Solutions Limited,G,True,,,SWT-EST01
SWT-GDF01,2__LRWED000,,ENGIE Power Limited,G,True,,,SWT-GDF01
SWT-HPW01,2__LHPOW000,,Drax Energy Solutions Limited,G,True,,,SWT-HPW01
SWT-HVN01,2__LHAVE000,,Drax Energy Solutions Limited,G,True,,,SWT-HVN01
SWT-INE01,2__LINDE000,,npower limited,G,True,,,SWT-INE01
SWT-LON01,2__LLOND000,,EDF Energy Customers Ltd,G,True,,,SWT-LON01
SWT-MEC01,2__LNUCE000,,NDA,G,False,,,SWT-MEC01
SWT-MID01,2__LMIDE000,,Npower Limited,G,True,,,SWT-MID01
SWT-MNW01,2__LMANW000,,SP Energy Retail Ltd,G,False,,,SWT-MNW01
SWT-NEE01,2__LNEEB000,,npower limited,G,True,,,SWT-NEE01
SWT-NPE01,2__LNATP000,,Npower Commercial Gas Limited,G,True,,,SWT-NPE01
SWT-NWP01,2__LNORW000,,E.ON Energy Solutions Limited,G,True,,,SWT-NWP01
SWT-OCT01,2__LMRCY000,,Octopus Energy Limited,G,True,,,SWT-OCT01
SWT-OGA01,2__LOGAS000,,British Gas Trading Ltd,G,True,,,SWT-OGA01
SWT-OVO01,2__LOVOE000,,OVO Electricity Ltd,G,False,,,SWT-OVO01
SWT-PGE01,2__LEMEB000,,E.ON Energy Solutions Limited,G,True,,,SWT-PGE01
SWT-PGU01,2__LPGEN000,,E.ON UK plc,G,True,,,SWT-PGU01
SWT-RNW01,2__LRENC000,,The Renewable Energy Co Ltd,G,False,,,SWT-RNW01
SWT-SEE01,2__LSEEB000,,EDF Energy Customers Ltd,G,True,,,SWT-SEE01
SWT-SEL01,2__LSMAR000,,Smartestenergy Limited,G,True,,,SWT-SEL01
SWT-SPC01,2__LSPOW000,,SP Energy Retail Ltd,G,True,,,SWT-SPC01
SWT-SSE01,2__LHYDE000,,OVO Electricity Ltd,G,True,,,SWT-SSE01
SWT-STH01,2__LSOUT000,,OVO Electricity Ltd,G,True,,,SWT-STH01
SWT-SWA01,2__LSWAE000,,OVO Electricity Ltd,G,True,,,SWT-SWA01
SWT-SWT01,2__LSWEB000,,EDF Energy Customers Ltd,G,True,,,SWT-SWT01
SWT-SYM01,2__LSYMB000,,E.ON Next Energy Ltd,G,True,,,SWT-SYM01
SWT-TFE01,2__LTGPL000,,TotalEnergies Gas & Power Ltd,G,True,,,SWT-TFE01
SWT-YEP01,2__LYELG000,,npower limited,G,True,,,SWT-YEP01
T_FERGD-1,T_FERGD-1,,EDF Energy Customers Ltd,T,False,,,T_FERGD-1
T_FERGD-2,T_FERGD-2,,EDF Energy Customers Ltd,T,False,,,T_FERGD-2
TANGW-1,,WIND,,,,,,TANGW-1
TAYL2G,E_TAYL2G,OCGT,Uniper UK Limited,E,True,-0.2575,51.546,TAYL2G
TAYL3G,E_TAYL3G,OCGT,Uniper UK Limited,E,True,-0.2575,51.546,TAYL3G
TDBNW-1,T_TDBNW-1,WIND,SSE Generation Ltd,T,True,-2.81,55.77,TDBNW-1
TDRVE-1,E_TDRVE-1,,Conrad Energy (Trading) Ltd,E,True,,,TDRVE-1
THMRB-1,E_THMRB-1,,Tesla Motors Limited,E,True,,,THMRB-1
THNTO-1,T_THNTO-1,WIND,Thanet Offshore Wind Limited,T,True,1.461182,51.385495,THNTO-1
THNTO-2,T_THNTO-2,WIND,Thanet Offshore Wind Limited,T,True,1.461182,51.385495,THNTO-2
THRNL-1,E_THRNL-1,,Whitetower Energy Limited,E,True,,,THRNL-1
TIBG-1,E_TGP1,,ESBIG Trading Ltd,E,True,,,TIBG-1
TINSD-1,T_TINSD-1,,Npower Commercial Gas Limited,T,True,,,TINSD-1
TKNEW-1,T_TKNEW-1,WIND,Triton Knoll Offshore Wind,T,True,0.839,53.478,TKNEW-1
TKNWW-1,T_TKNWW-1,WIND,Triton Knoll Offshore Wind,T,True,0.839,53.478,TKNWW-1
TLYMW-1,E_TLYMW-1,WIND,Limejump Energy Limited,E,True,-3.2944,56.6717,TLYMW-1
TMNCW-1,C__PSTAT011,WIND,Statkraft Markets Gmbh,S,True,,,TMNCW-1
TMWLW-1,,WIND,,,,,,TMWLW-1
TODSD-1,T_TODSD-1,,Drax Energy Solutions Limited,T,True,,,TODSD-1
TOLLB-1,E_TOLLB-1,,Tollgate Energy Storage Ltd,E,True,,,TOLLB-1
TONG-1,,NPSHYD,,,,,,TONG-1
TONG-2,,NPSHYD,,,,,,TONG-2
TONG-3,,NPSHYD,,,,,,TONG-3
TORN-1,T_TORN-1,NUCLEAR,EDF Energy Nuclear Generation,T,True,-2.054443,55.813629,TORN-1
TORN-2,T_TORN-2,NUCLEAR,EDF Energy Nuclear Generation,T,True,-2.054443,55.813629,TORN-2
TORND-1,T_TORN-D,,EDF Energy Nuclear Generation,T,True,,,TORND-1
TRFPK-1,E_TRFPK-1,,Conrad Energy (Trading) Ltd,E,True,,,TRFPK-1
TRLGW-1,T_TRLGW-1,WIND,Smartestenergy Limited,T,True,-4.8074,55.2337,TRLGW-1
TRMFD-1,T__KYELT003,,AXPO UK LIMITED,T,True,,,TRMFD-1
TSREP-1,T_TSREP-1,BIOMASS,MGT TEESSIDE LTD.,T,True,,,TSREP-1
TULWW-1,E_TULWW-1,WIND,Eneco Energy Trade,E,True,-2.581787,56.662265,TULWW-1
TULWW-2,E_TULWW-2,WIND,Eneco Energy Trade,E,True,-2.581787,56.662265,TULWW-2
TUMB-1,,NPSHYD,,,,,,TUMB-1
TUMB-2,,NPSHYD,,,,,,TUMB-2
TWSHW-1,T_TWSHW-1,WIND,Twentyshilling Limited,T,True,-3.9156,55.3154,TWSHW-1
USKM-13,T_USKM-13,BIOMASS,SIMEC Uskmouth Power Limited,T,True,-3.043213,51.611195,USKM-13
USKM-14,T_USKM-14,BIOMASS,Marble Power Limited,T,True,-3.043213,51.611195,USKM-14
USKM-15,T_USKM-15,BIOMASS,Marble Power Limited,T,True,-3.043213,51.611195,USKM-15
VKING-2,E_VKING-2,,Whitetower Energy Limited,E,True,,,VKING-2
WBUGT-1,T_WBUGT-1,OCGT,EDF Energy (Thermal Generation,T,True,-0.53833,53.363665,WBUGT-1
WBUGT-4,T_WBUGT-4,OCGT,EDF Energy (Thermal Generation,T,True,-0.53833,53.363665,WBUGT-4
WBUPS-1,T_WBUPS-1,COAL,EDF Energy (Thermal Generation,T,True,-0.53833,53.363665,WBUPS-1
WBUPS-2,T_WBUPS-2,COAL,EDF Energy (Thermal Generation,T,True,-0.53833,53.363665,WBUPS-2
WBUPS-3,T_WBUPS-3,COAL,EDF Energy (Thermal Generation,T,True,-0.53833,53.363665,WBUPS-3
WBUPS-4,T_WBUPS-4,COAL,EDF Energy (Thermal Generation,T,True,-0.53833,53.363665,WBUPS-4
WBUPS-STX,E_WBUPS-STX,,EDF Energy Customers Ltd,E,False,,,WBUPS-STX
WBURB-1,T_WBURB-1,CCGT,West Burton B Limited,T,True,-0.53833,53.363665,WBURB-1
WBURB-2,T_WBURB-2,CCGT,West Burton B Limited,T,True,-0.53833,53.363665,WBURB-2
WBURB-3,T_WBURB-3,CCGT,West Burton B Limited,T,True,-0.53833,53.363665,WBURB-3
WBURB-41,T_WBURB-41,OTHER,West Burton B Limited,T,True,,,WBURB-41
WBURB-43,T_WBURB-43,OTHER,West Burton B Limited,T,True,,,WBURB-43
WDNSO-1,T_WDNSO-1,WIND,Morecambe Wind Limited,T,True,-3.768311,53.923751,WDNSO-1
WDNSO-2,T_WDNSO-2,WIND,Morecambe Wind Limited,T,True,-3.768311,53.923751,WDNSO-2
WDRGW-1,T_WDRGW-1,WIND,Windy Rig Wind Farm Limited,T,True,-4.1761,55.2718,WDRGW-1
WHIHW-1,T_WHIHW-1,WIND,Whiteside Hill,T,True,-4.0178,55.3239,WHIHW-1
WHILW-1,T_WHILW-1,WIND,SP Renewables (UK) Limited,T,True,-4.042969,55.702355,WHILW-1
WHILW-2,T_WHILW-2,WIND,SP Renewables (UK) Limited,T,True,-4.042969,55.702355,WHILW-2
WHLWB-1,T_WHLWB-1,,SP Renewables (UK) Limited,T,True,,,WHLWB-1
WHTLD-1,T_WHISTLD-1,,EDF Energy Customers Ltd,T,False,,,WHTLD-1
WILCT-1,T_WILCT-1,BIOMASS,SembCorp Utilities (UK) Ltd,T,True,,,WILCT-1
WINN-1,,OTHER,,,,-2.534686,53.266177,WINN-1
WISHB-1,T_WISHB-1,OTHER,Zenobe Wishaw Limited,T,True,,,WISHB-1
WISHD-1,T_WISHD-1,,Zenobe Wishaw Limited,T,True,,,WISHD-1
WISTW-2,T_WISTW-2,WIND,BROCKLOCH RIG WINDFARM LTD,T,True,-4.141234,55.255156,WISTW-2
WLNYO-2,T_WLNYO-2,WIND,Walney Offshore Windfarms Ltd,T,True,-3.522,54.044,WLNYO-2
WLNYO-3,T_WLNYO-3,WIND,Walney Extension Ltd,T,True,-3.522,54.044,WLNYO-3
WLNYO-4,T_WLNYO-4,WIND,Walney Extension Ltd,T,True,-3.522,54.044,WLNYO-4
WLNYW-1,T_WLNYW-1,WIND,Walney Offshore Windfarms Ltd,T,True,-3.522,54.044,WLNYW-1
WTGRW-1,,WIND,,,,-3.2296,58.4395,WTGRW-1
WTMSO-1,T_WTMSO-1,WIND,Westermost Rough Limited,T,True,0.681152,53.943155,WTMSO-1
WTRLN-1,E_WTRLN-1,,Conrad Energy (Trading) Ltd,E,True,,,WTRLN-1
WTRSB-1,2__GFSEN101,,F & S Energy Ltd,S,True,,,WTRSB-1
WYLF-1,T_WYLF-1,,NDA,T,True,-4.405518,53.370221,WYLF-1
WYLF-2,T_WYLF-2,,NDA,T,True,-4.405518,53.370221,WYLF-2
WYLF-3,T_WYLF-3,,NDA,T,True,-4.405518,53.370221,WYLF-3
WYLF-4,T_WYLF-4,,NDA,T,True,-4.405518,53.370221,WYLF-4
YEP-ATL01,2__MIMPO000,,SSE Energy Supply Limited,G,True,,,YEP-ATL01
YEP-AXPO1,2__MAXPO000,,AXPO UK LIMITED,G,False,,,YEP-AXPO1
YEP-BGS01,2__MBGAS000,,British Gas Trading Ltd,G,True,,,YEP-BGS01
YEP-BIZ01,2__MBIZZ000,,British Gas Trading Ltd,G,True,,,YEP-BIZ01
YEP-BRT01,2__MBULN000,,Bryt Energy Limited,G,False,,,YEP-BRT01
YEP-EAS01,2__MEELC000,,E.ON Energy Solutions Limited,G,True,,,YEP-EAS01
YEP-EDF01,2__MEDFE000,,EDF Energy Customers Ltd,G,True,,,YEP-EDF01
YEP-EDR01,2__MEDIR000,,British Gas Trading Ltd,G,True,,,YEP-EDR01
YEP-ENR01,2__MENRD000,,British Gas Trading Ltd,G,True,,,YEP-ENR01
YEP-EON01,2__MEOND000,,E.ON Next Energy Ltd,G,True,,,YEP-EON01
YEP-EST01,2__MEENG000,,E.ON Energy Solutions Limited,G,True,,,YEP-EST01
YEP-GDF01,2__MRWED000,,ENGIE Power Limited,G,True,,,YEP-GDF01
YEP-HPW01,2__MHPOW000,,Drax Energy Solutions Limited,G,True,,,YEP-HPW01
YEP-HVN01,2__MHAVE000,,Drax Energy Solutions Limited,G,True,,,YEP-HVN01
YEP-INE01,2__MINDE000,,npower limited,G,True,,,YEP-INE01
YEP-LON01,2__MLOND000,,EDF Energy Customers Ltd,G,True,,,YEP-LON01
YEP-MEC01,2__MNUCE000,,NDA,G,False,,,YEP-MEC01
YEP-MID01,2__MMIDE000,,Npower Limited,G,True,,,YEP-MID01
YEP-MNW01,2__MMANW000,,SP Energy Retail Ltd,G,False,,,YEP-MNW01
YEP-NEE01,2__MNEEB000,,npower limited,G,True,,,YEP-NEE01
YEP-NPE01,2__MNATP000,,Npower Commercial Gas Limited,G,True,,,YEP-NPE01
YEP-NWP01,2__MNORW000,,E.ON Energy Solutions Limited,G,True,,,YEP-NWP01
YEP-OCT01,2__MMRCY000,,Octopus Energy Limited,G,True,,,YEP-OCT01
YEP-OGA01,2__MOGAS000,,British Gas Trading Ltd,G,True,,,YEP-OGA01
YEP-OVO01,2__MOVOE000,,OVO Electricity Ltd,G,False,,,YEP-OVO01
YEP-PGE01,2__MEMEB000,,E.ON Energy Solutions Limited,G,True,,,YEP-PGE01
YEP-PGU01,2__MPGEN000,,E.ON UK plc,G,True,,,YEP-PGU01
YEP-RNW01,2__MRENC000,,The Renewable Energy Co Ltd,G,False,,,YEP-RNW01
YEP-SEE01,2__MSEEB000,,EDF Energy Customers Ltd,G,True,,,YEP-SEE01
YEP-SEL01,2__MSMAR000,,Smartestenergy Limited,G,True,,,YEP-SEL01
YEP-SPC01,2__MSPOW000,,SP Energy Retail Ltd,G,True,,,YEP-SPC01
YEP-SSE01,2__MHYDE000,,OVO Electricity Ltd,G,True,,,YEP-SSE01
YEP-STH01,2__MSOUT000,,OVO Electricity Ltd,G,True,,,YEP-STH01
YEP-SWA01,2__MSWAE000,,OVO Electricity Ltd,G,True,,,YEP-SWA01
YEP-SWT01,2__MSWEB000,,EDF Energy Customers Ltd,G,True,,,YEP-SWT01
YEP-SYM01,2__MSYMB000,,E.ON Next Energy Ltd,G,True,,,YEP-SYM01
YEP-TFE01,2__MTGPL000,,TotalEnergies Gas & Power Ltd,G,True,,,YEP-TFE01
YEP-YEP01,2__MYELG000,,npower limited,G,True,,,YEP-YEP01
ZEN02A,V__AZENO002,,BESS Holdco 2 Limited,V,True,,,ZEN02A
